iter	Passed	Remaining
0	1	133
1	2	136
2	3	126
3	4	117
4	5	112
5	6	107
6	8	107
7	8	103
8	9	99
9	10	96
10	11	93
11	12	91
12	13	90
13	14	87
14	14	84
15	15	83
16	17	83
17	18	82
18	19	82
19	20	81
20	21	79
21	22	78
22	23	77
23	23	75
24	24	74
25	25	72
26	26	71
27	27	70
28	28	70
29	29	69
30	30	68
31	31	66
32	32	65
33	33	64
34	34	64
35	35	63
36	36	62
37	38	62
38	39	61
39	40	60
40	40	58
41	41	57
42	42	56
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	55	40
58	56	39
59	57	38
60	58	37
61	58	36
62	59	35
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	66	29
69	67	29
70	68	28
71	69	27
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	75	20
79	76	19
80	77	18
81	78	17
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	85	9
90	85	8
91	87	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
