iter	Passed	Remaining
0	2	2329
1	3	1626
2	3	1310
3	4	1134
4	5	1023
5	5	937
6	6	875
7	6	828
8	7	785
9	7	747
10	7	714
11	8	686
12	8	663
13	9	642
14	9	625
15	9	609
16	10	596
17	10	582
18	11	570
19	11	560
20	12	565
21	12	557
22	12	549
23	13	541
24	13	534
25	14	527
26	14	521
27	14	516
28	15	510
29	15	506
30	16	502
31	16	498
32	17	501
33	17	499
34	17	496
35	18	493
36	18	489
37	19	485
38	19	482
39	19	478
40	20	475
41	21	480
42	21	478
43	21	475
44	22	472
45	22	469
46	23	470
47	23	468
48	24	466
49	24	463
50	24	461
51	25	459
52	25	463
53	26	461
54	26	459
55	27	457
56	27	455
57	27	453
58	28	452
59	28	450
60	29	448
61	29	447
62	29	445
63	30	444
64	30	443
65	31	444
66	32	455
67	33	465
68	34	464
69	34	462
70	35	460
71	35	458
72	36	457
73	36	455
74	37	458
75	37	457
76	37	455
77	38	453
78	38	452
79	39	450
80	39	448
81	39	447
82	40	443
83	40	441
84	40	440
85	41	439
86	41	438
87	42	437
88	42	435
89	43	437
90	43	436
91	44	435
92	44	433
93	44	432
94	45	430
95	45	430
96	46	429
97	46	428
98	46	427
99	47	427
100	47	426
101	50	441
102	50	440
103	51	440
104	51	440
105	52	439
106	52	438
107	53	438
108	53	437
109	53	436
110	54	436
111	54	435
112	55	433
113	55	433
114	56	432
115	56	431
116	56	429
117	57	428
118	57	427
119	58	426
120	58	425
121	58	423
122	59	422
123	59	422
124	60	421
125	60	419
126	60	418
127	61	417
128	61	416
129	62	415
130	62	414
131	63	414
132	63	413
133	63	412
134	64	412
135	64	411
136	65	410
137	65	409
138	66	409
139	66	408
140	67	409
141	67	407
142	67	406
143	68	405
144	68	404
145	69	404
146	69	403
147	69	402
148	70	402
149	70	402
150	71	401
151	72	402
152	72	402
153	73	402
154	73	401
155	74	400
156	74	399
157	74	398
158	75	398
159	75	397
160	76	396
161	76	396
162	76	395
163	77	394
164	77	393
165	78	393
166	78	393
167	83	411
168	84	414
169	85	417
170	86	419
171	87	421
172	88	422
173	89	424
174	90	425
175	91	427
176	92	429
177	93	431
178	95	436
179	96	438
180	97	440
181	98	440
182	98	441
183	99	441
184	100	441
185	100	441
186	101	441
187	102	440
188	102	440
189	103	439
190	103	438
191	104	437
192	104	436
193	104	435
194	105	434
195	105	434
196	106	433
197	106	432
198	107	434
199	108	432
200	108	431
201	109	431
202	109	431
203	110	430
204	110	430
205	111	429
206	111	428
207	112	427
208	112	426
209	113	425
210	113	424
211	113	423
212	114	422
213	114	421
214	115	420
215	115	419
216	115	418
217	116	417
218	116	416
219	117	415
220	117	414
221	117	413
222	118	412
223	118	411
224	119	410
225	119	409
226	120	408
227	120	407
228	120	407
229	121	406
230	121	405
231	122	404
232	122	403
233	122	402
234	123	401
235	123	400
236	124	399
237	124	398
238	125	399
239	126	399
240	126	398
241	126	397
242	127	396
243	127	395
244	128	394
245	128	394
246	128	393
247	129	392
248	129	391
249	130	390
250	130	389
251	130	388
252	131	387
253	131	387
254	132	386
255	132	385
256	133	384
257	133	383
258	133	383
259	134	382
260	134	381
261	135	380
262	135	379
263	135	378
264	136	378
265	136	377
266	137	376
267	137	375
268	137	374
269	138	374
270	138	373
271	139	372
272	139	371
273	139	370
274	140	370
275	141	369
276	141	369
277	142	368
278	142	368
279	142	367
280	143	366
281	143	365
282	144	365
283	144	364
284	144	363
285	145	362
286	145	361
287	146	361
288	146	360
289	146	359
290	147	358
291	147	358
292	148	357
293	148	356
294	148	356
295	149	355
296	149	354
297	150	353
298	150	353
299	151	352
300	151	351
301	151	350
302	152	350
303	152	349
304	153	348
305	153	347
306	153	347
307	154	346
308	154	345
309	155	345
310	155	344
311	156	344
312	156	343
313	157	343
314	157	342
315	158	342
316	158	341
317	159	341
318	159	340
319	159	339
320	160	338
321	160	338
322	161	337
323	161	337
324	162	336
325	162	336
326	163	335
327	163	335
328	164	334
329	164	333
330	164	333
331	165	332
332	165	331
333	166	331
334	166	330
335	166	329
336	167	329
337	167	328
338	168	328
339	168	327
340	169	326
341	169	326
342	169	325
343	170	324
344	170	324
345	171	324
346	172	323
347	172	323
348	172	322
349	173	321
350	173	321
351	174	320
352	174	319
353	174	319
354	175	318
355	175	318
356	176	317
357	176	316
358	177	316
359	177	315
360	177	314
361	178	314
362	178	313
363	179	313
364	179	312
365	180	312
366	180	311
367	181	310
368	181	310
369	181	309
370	182	308
371	182	308
372	183	308
373	183	307
374	184	306
375	184	306
376	185	305
377	185	305
378	185	304
379	186	303
380	186	303
381	187	303
382	187	302
383	188	301
384	188	301
385	189	300
386	189	300
387	189	299
388	190	299
389	191	299
390	192	299
391	192	298
392	192	297
393	193	297
394	193	296
395	194	296
396	195	296
397	196	296
398	196	296
399	196	295
400	197	295
401	198	295
402	199	295
403	199	294
404	200	293
405	200	293
406	201	292
407	201	292
408	201	291
409	202	291
410	202	290
411	203	291
412	204	290
413	205	290
414	205	290
415	206	289
416	206	289
417	207	288
418	208	288
419	208	288
420	209	288
421	210	288
422	210	287
423	211	286
424	211	286
425	212	286
426	213	286
427	213	285
428	214	285
429	214	284
430	215	284
431	215	283
432	216	282
433	216	282
434	217	281
435	217	281
436	217	280
437	218	280
438	218	279
439	219	279
440	219	278
441	220	278
442	220	277
443	221	276
444	221	276
445	221	275
446	222	274
447	222	274
448	223	273
449	223	273
450	223	272
451	224	271
452	224	271
453	225	270
454	225	269
455	225	269
456	226	268
457	226	267
458	226	267
459	227	266
460	227	266
461	228	265
462	228	265
463	228	264
464	229	263
465	229	263
466	230	262
467	230	262
468	230	261
469	231	260
470	231	260
471	231	259
472	232	259
473	249	276
474	250	276
475	250	276
476	251	276
477	252	275
478	253	275
479	253	274
480	254	274
481	254	273
482	255	272
483	255	272
484	255	271
485	256	271
486	256	270
487	257	269
488	257	269
489	258	268
490	258	268
491	258	267
492	259	266
493	259	266
494	260	265
495	260	264
496	261	264
497	261	263
498	261	263
499	262	262
500	262	261
501	263	261
502	264	260
503	264	260
504	265	259
505	265	259
506	266	258
507	266	258
508	267	257
509	267	257
510	267	256
511	268	255
512	268	255
513	269	254
514	269	253
515	269	253
516	270	252
517	270	251
518	271	251
519	271	250
520	272	250
521	272	249
522	272	248
523	273	248
524	273	247
525	274	247
526	275	246
527	275	246
528	275	245
529	276	245
530	276	244
531	277	243
532	278	244
533	279	243
534	279	243
535	280	242
536	280	241
537	281	241
538	281	240
539	282	240
540	282	239
541	283	239
542	283	238
543	284	238
544	284	237
545	285	237
546	285	236
547	285	235
548	286	235
549	287	234
550	287	234
551	287	233
552	288	233
553	289	232
554	289	232
555	290	231
556	290	231
557	291	230
558	291	230
559	292	229
560	292	228
561	292	228
562	293	227
563	293	227
564	294	226
565	294	226
566	295	225
567	296	225
568	296	224
569	297	224
570	297	223
571	298	223
572	298	222
573	299	221
574	299	221
575	299	220
576	300	220
577	300	219
578	301	219
579	301	218
